	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	End Clock Time	Delta Time (s)	Peak Freq (Hz)	Species	Call type
	1	Spectrogram 1	1	304.6536474	308.4024849	46803	59307.7	20:04.7	20:08.4	3.7488	50625	Pipistrellus tenuis	Echolocation
	2	Spectrogram 1	1	308.6727499	314.3192549	47696.2	57878.6	20:08.7	20:14.3	5.6465	51750	Pipistrellus tenuis	Echolocation
	3	Spectrogram 1	1	307.9271413	308.7553729	46803	49661.2	20:07.9	20:08.8	0.8282	48000	Pipistrellus tenuis	Echolocation
	4	Spectrogram 1	1	303.9834248	308.8249468	34119.8	40550.7	20:04.0	20:08.8	4.8415	37500	 Pipistrellus ceylonicus	Echolocation
	5	Spectrogram 1	1	309.2759635	324.593888	33941.1	42515.7	20:09.3	20:24.6	15.3179	37875	 Pipistrellus ceylonicus	Echolocation
	6	Spectrogram 1	1	315.1966084	324.6500723	47338.9	58057.2	20:15.2	20:24.6	9.4535	49875	Pipistrellus tenuis	Echolocation
	10	Spectrogram 1	1	325.6664617	332.4741994	35018.6	47230.2	20:25.7	20:32.5	6.8077	37125	 Pipistrellus ceylonicus	Echolocation
	11	Spectrogram 1	1	326.4885399	333.8124163	47589.4	57466.5	20:26.5	20:33.8	7.3239	51375	Pipistrellus tenuis	Echolocation
	12	Spectrogram 1	1	335.4970266	337.7637656	48128.2	52797.3	20:35.5	20:37.8	2.2667	51000	Pipistrellus tenuis	Echolocation
	13	Spectrogram 1	1	334.781738	338.5828849	34300.3	40765.3	20:34.8	20:38.6	3.8011	36000	 Pipistrellus ceylonicus	Echolocation
	14	Spectrogram 1	1	339.0196506	341.0015941	33402.4	41483.6	20:39.0	20:41.0	1.9819	35625	 Pipistrellus ceylonicus	Echolocation
	17	Spectrogram 1	1	341.4258812	343.1028587	34120.7	45254.8	20:41.4	20:43.1	1.677	36375	 Pipistrellus ceylonicus	Echolocation
	18	Spectrogram 1	1	343.9909796	350.7576383	33761.5	42561.1	20:44.0	20:50.8	6.7667	35625	 Pipistrellus ceylonicus	Echolocation
	19	Spectrogram 1	1	343.5635026	344.9467946	48128.2	57466.5	20:43.6	20:44.9	1.3833	52125	Pipistrellus tenuis	Echolocation
	20	Spectrogram 1	1	345.6093798	346.6555671	48307.7	54593.1	20:45.6	20:46.7	1.0462	50250	Pipistrellus tenuis	Echolocation
	21	Spectrogram 1	1	347.2890915	351.3098982	47589.4	62494.8	20:47.3	20:51.3	4.0208	51000	Pipistrellus tenuis	Feeding Buzz
	22	Spectrogram 1	1	351.5888814	353.1629599	47409.8	64111	20:51.6	20:53.2	1.5741	49500	Pipistrellus tenuis	Echolocation
	23	Spectrogram 1	1	353.5639983	354.8107048	47948.6	61058.1	20:53.6	20:54.8	1.2467	53250	Pipistrellus tenuis	Echolocation
	24	Spectrogram 1	1	355.1158427	356.1387813	50642.3	61417.3	20:55.1	20:56.1	1.0229	52125	Pipistrellus tenuis	Echolocation
	25	Spectrogram 1	1	355.627312	356.7577754	45793.6	51181.1	20:55.6	20:56.8	1.1305	48000	Pipistrellus tenuis	Echolocation
	26	Spectrogram 1	1	357.1965928	359.7399703	46332.3	51360.6	20:57.2	20:59.7	2.5434	48750	Pipistrellus tenuis	Echolocation
	28	Spectrogram 1	1	352.1344794	365.7655179	33402.4	43279.4	20:52.1	21:05.8	13.631	36000	 Pipistrellus ceylonicus	Echolocation
	29	Spectrogram 1	1	367.2961107	372.889056	47230.2	58005.2	21:07.3	21:12.9	5.5929	49125	Pipistrellus tenuis	Echolocation
	30	Spectrogram 1	1	369.6032554	377.0087949	33043.2	41304	21:09.6	21:17.0	7.4055	36000	 Pipistrellus ceylonicus	Echolocation
	32	Spectrogram 1	1	383.8025108	385.578123	51360.6	56389	21:23.8	21:25.6	1.7756	52125	Pipistrellus tenuis	Echolocation
	33	Spectrogram 1	1	387.4973329	391.0776181	50642.3	55131.9	21:27.5	21:31.1	3.5803	52500	Pipistrellus tenuis	Echolocation
	34	Spectrogram 1	1	388.3354737	392.0426553	46871.1	51540.2	21:28.3	21:32.0	3.7072	48750	Pipistrellus tenuis	Echolocation
	35	Spectrogram 1	1	393.184743	398.0903223	47409.8	56748.1	21:33.2	21:38.1	4.9056	48750	Pipistrellus tenuis	Echolocation
	36	Spectrogram 1	1	398.4594467	402.1908478	47769	55491	21:38.5	21:42.2	3.7314	52500	Pipistrellus tenuis	Echolocation
	37	Spectrogram 1	1	392.4051796	395.7297301	32145.3	39508.2	21:32.4	21:35.7	3.3246	35625	 Pipistrellus ceylonicus	Echolocation
	38	Spectrogram 1	1	396.6183596	404.7146888	35916.5	47589.4	21:36.6	21:44.7	8.0963	46875	 Pipistrellus ceylonicus	Echolocation
	40	Spectrogram 1	1	404.972709	409.5119991	33043.2	42201.9	21:45.0	21:49.5	4.5393	36000	 Pipistrellus ceylonicus	Echolocation
	42	Spectrogram 1	1	405.652616	408.3901393	48846.5	60339.8	21:45.7	21:48.4	2.7375	53250	Pipistrellus tenuis	Echolocation
	43	Spectrogram 1	1	408.6874706	409.9632378	47948.6	57825.6	21:48.7	21:50.0	1.2758	50250	Pipistrellus tenuis	Echolocation
	44	Spectrogram 1	1	421.8586576	424.4305345	48666.9	58903.1	22:01.9	22:04.4	2.5719	50625	Pipistrellus tenuis	Echolocation
	45	Spectrogram 1	1	421.9952432	427.5928624	35557.4	46152.7	22:02.0	22:07.6	5.5976	39000	 Pipistrellus ceylonicus	Echolocation
	46	Spectrogram 1	1	425.8899021	429.0953035	47589.4	53874.8	22:05.9	22:09.1	3.2054	49125	Pipistrellus tenuis	Echolocation
	47	Spectrogram 1	1	430.9393495	433.7902097	33941.1	41483.6	22:10.9	22:13.8	2.8509	36750	 Pipistrellus ceylonicus	Echolocation
	48	Spectrogram 1	1	429.5818182	431.2411874	48128.2	51899.4	22:09.6	22:11.2	1.6594	49875	Pipistrellus tenuis	Echolocation
	49	Spectrogram 1	1	434.7878524	444.6095936	35018.6	44536.5	22:14.8	22:24.6	9.8217	37500	 Pipistrellus ceylonicus	Echolocation
	50	Spectrogram 1	1	434.8485207	440.4083082	46332.3	54952.3	22:14.8	22:20.4	5.5598	48750	Pipistrellus tenuis	Echolocation
	51	Spectrogram 1	1	441.2544938	449.5236027	48128.2	54234	22:21.3	22:29.5	8.2691	49875	Pipistrellus tenuis	Echolocation
	52	Spectrogram 1	1	467.4508289	468.3255577	47769	51360.6	22:47.5	22:48.3	0.8747	49125	Pipistrellus tenuis	Echolocation
	53	Spectrogram 1	1	468.7934359	472.8822843	47230.2	50283.1	22:48.8	22:52.9	4.0888	48000	Pipistrellus tenuis	Echolocation
	54	Spectrogram 1	1	481.4637015	483.2916231	49026.1	54234	23:01.5	23:03.3	1.8279	50250	Pipistrellus tenuis	Echolocation
	56	Spectrogram 1	1	489.9861566	491.2154266	47948.6	51719.8	23:10.0	23:11.2	1.2293	48750	Pipistrellus tenuis	Echolocation
	57	Spectrogram 1	1	498.998967	502.0823132	47948.6	55850.2	23:19.0	23:22.1	3.0833	49500	Pipistrellus tenuis	Echolocation
	58	Spectrogram 1	1	500.0945575	500.9024465	38430.7	44536.5	23:20.1	23:20.9	0.8079	39750	 Pipistrellus ceylonicus	Echolocation
	59	Spectrogram 1	1	501.5708439	513.4502102	33028.7	46511.9	23:21.6	23:33.5	11.8794	38625	 Pipistrellus ceylonicus	Echolocation
	60	Spectrogram 1	1	507.8946936	509.8608129	47809.5	52736.5	23:27.9	23:29.9	1.9661	49500	Pipistrellus tenuis	Echolocation
	63	Spectrogram 1	1	512.9754254	514.3703417	47378.7	51299.7	23:33.0	23:34.4	1.3949	49875	Pipistrellus tenuis	Echolocation
